2.9 -1.81901939 5.51938625 -0.62100961 -2.64003119 2.75316705 0.10664330 0.32474350 0.43932605 0.43932605 
2.95 -1.51994287 4.63999352 -0.53948204 -2.41119159 2.29897268 -0.11394883 0.07442294 0.16937703 0.16937703
3.0 -1.26999871 3.89973872 -0.46944177 -2.20329835 1.91781314 -0.28359056 -0.12141784 -0.04300011 -0.04300011
3.05 -1.06118942 3.27682287 -0.40918338 -2.01335783 1.59814646 -0.41162434 -0.27234867 -0.20690776 -0.20690776
3.1 -0.88658350 2.75272142 -0.35726624 -1.84158650 1.33022924 -0.50582742 -0.38651894 -0.33271482 -0.33271482
3.15 -0.74063434 2.31189152 -0.31246700 -1.68532374 1.10584072 -0.57266042 -0.47065685 -0.42653356 -0.42653356
3.2 -0.61864959 1.94122245 -0.27374950 -1.54228011 0.91804729 -0.61747905 -0.53038043 -0.49345675 -0.49345675
3.25 -0.51661889 1.62957131 -0.24023525 -1.41268931 0.76100308 -0.64471291 -0.57045667 -0.53997214 -0.53997214
3.3 -0.43133240 1.36761558 -0.21117884 -1.29484322 0.62978176 -0.65801570 -0.59477644 -0.56973887 -0.56973887
3.35 -0.36001860 1.14750693 -0.18594663 -1.18740422 0.52023289 -0.66039330 -0.60655373 -0.58586253 -0.58586253
3.4 -0.30041569 0.96257343 -0.16400105 -1.08963023 0.42886188 -0.65431004 -0.60850255 -0.59147353 -0.59147353
3.45 -0.25059547 0.80724924 -0.14488366 -1.00053182 0.35272748 -0.64177916 -0.60280185 -0.58876171 -0.58876171
3.5 -0.20895838 0.67682763 -0.12820430 -0.91931365 0.28935573 -0.62443828 -0.59125633 -0.57964870 -0.57964870
3.55 -0.17416674 0.56734489 -0.11363025 -0.84525264 0.23666672 -0.60361317 -0.57533912 -0.56570474 -0.56570474
3.6 -0.14510152 0.47546356 -0.10087715 -0.77769148 0.19291301 -0.58037102 -0.55624664 -0.54820659 -0.54820659
3.65 -0.12082332 0.39838149 -0.08970145 -0.71587035 0.15662736 -0.55556525 -0.53493734 -0.52801363 -0.52801363
3.7 -0.10055254 0.33371785 -0.07989517 -0.65956930 0.12657884 -0.52987274 -0.51220266 -0.50629916 -0.50629916
3.75 -0.08363236 0.27949943 -0.07127883 -0.60800907 0.10173514 -0.50382560 -0.48864238 -0.48342084 -0.48342084
3.8 -0.06950911 0.23403597 -0.06369843 -0.56101859 0.08123124 -0.47783714 -0.46475905 -0.46019016 -0.46019016
3.85 -0.05772570 0.19592899 -0.05702104 -0.51805115 0.06434287 -0.45222365 -0.44092209 -0.43686889 -0.43686889
3.9 -0.04789713 0.16399520 -0.05113224 -0.47874066 0.05046339 -0.42722320 -0.41742256 -0.41377483 -0.41377483
3.95 -0.03970134 0.13724018 -0.04593260 -0.44275523 0.03908574 -0.40300978 -0.39447942 -0.39114899 -0.39114899
4.0 -0.03286904 0.11482858 -0.04133610 -0.40979397 0.02978581 -0.37970651 -0.37225366 -0.36917053 -0.36917053
4.05 -0.02717502 0.09605885 -0.03726818 -0.37958410 0.02220915 -0.35739571 -0.35085942 -0.34796845 -0.34796845
4.1 -0.02243128 0.08034206 -0.03366366 -0.35187833 0.01605991 -0.33612717 -0.33037308 -0.32763121 -0.32763121
4.15 -0.01848075 0.06718395 -0.03046604 -0.32645247 0.01109095 -0.31592545 -0.31084131 -0.30821531 -0.30821531
4.2 -0.01519243 0.05616986 -0.02762561 -0.30310325 0.00709644 -0.29679501 -0.29228689 -0.28975144 -0.28975144
4.25 -0.01243102 0.04695631 -0.02509858 -0.28148713 0.00390461 -0.27872538 -0.27470943 -0.27206041 -0.27206041
4.3 -0.01015740 0.03924230 -0.02284849 -0.26176769 0.00137270 -0.26169432 -0.25811004 -0.25553128 -0.25553128
4.35 -0.00826911 0.03278852 -0.02084141 -0.24362124 -0.00061805 -0.24567113 -0.24246235 -0.23994324 -0.23994324
4.4 -0.00670265 0.02739002 -0.01904827 -0.22688814 -0.00216616 -0.23061891 -0.22773799 -0.22524905 -0.22524905
4.45 -0.00540467 0.02287516 -0.01744375 -0.21148941 -0.00335342 -0.21649673 -0.21390294 -0.21146267 -0.21146267
4.5 -0.00432936 0.01910217 -0.01600518 -0.19714952 -0.00424719 -0.20326063 -0.20091687 -0.19838188 -0.19838188
4.55 -0.00344231 0.01594585 -0.01471345 -0.18405000 -0.00490348 -0.19086564 -0.18874446 -0.18625992 -0.18625992
4.6 -0.00271130 0.01330777 -0.01355125 -0.17195170 -0.00536823 -0.17926604 -0.17734145 -0.17490648 -0.17490648
4.65 -0.00211017 0.01110334 -0.01250351 -0.16076970 -0.00567904 -0.16841616 -0.16666561 -0.16428003 -0.16428003
4.7 -0.00161724 0.00926174 -0.01155722 -0.15042683 -0.00586716 -0.15827159 -0.15667548 -0.15433956 -0.15433956
4.75 -0.00121422 0.00772363 -0.01070080 -0.14085292 -0.00595782 -0.14878878 -0.14733000 -0.14504430 -0.14504430
4.8 -0.00088590 0.00643935 -0.00992426 -0.13198409 -0.00597193 -0.13992607 -0.13858969 -0.13635491 -0.13635491
4.85 -0.00061946 0.00536729 -0.00921874 -0.12376222 -0.00592631 -0.13164331 -0.13041625 -0.12823314 -0.12823314
4.9 -0.00040418 0.00447263 -0.00857646 -0.11613437 -0.00583465 -0.12390230 -0.12277313 -0.12064239 -0.12064239
4.95 -0.00023116 0.00372623 -0.00799072 -0.10905230 -0.00570822 -0.11666702 -0.11562569 -0.11354795 -0.11354795
