3.20 -0.10797802 0.56295060 -0.05716671 -0.35380021 0.37828103 0.07579945 0.09260383 0.04400566 0.04400566 
3.25 -0.08877614 0.46569849 -0.04708758 -0.31924226 0.31318005 0.04047353 0.05476050 0.01059251 0.01059251
3.30 -0.07295412 0.38510988 -0.03881793 -0.28835842 0.25914777 0.01300373 0.02513754 -0.01502058 -0.01502058
3.35 -0.05992504 0.31836158 -0.03203021 -0.26073886 0.21432903 -0.00809827 0.00219690 -0.03433253 -0.03433253
3.40 -0.04920257 0.26310168 -0.02645618 -0.23602090 0.17717382 -0.02405935 -0.01533188 -0.04857798 -0.04857798
3.45 -0.04038393 0.21737233 -0.02187628 -0.21388337 0.14638824 -0.03588846 -0.02849585 -0.05877126 -0.05877126
3.50 -0.03313564 0.17954491 -0.01811088 -0.19404169 0.12089318 -0.04441326 -0.03815579 -0.06574331 -0.06574331
3.55 -0.02718175 0.14826560 -0.01501308 -0.17624356 0.09978943 -0.05031089 -0.04501755 -0.07017280 -0.07017280
3.60 -0.02229400 0.12240975 -0.01246276 -0.16026521 0.08232833 -0.05413371 -0.04965833 -0.07261223 -0.07261223
3.65 -0.01828368 0.10104372 -0.01036169 -0.14590811 0.06788712 -0.05633089 -0.05254872 -0.07350975 -0.07350975
3.70 -0.01499488 0.08339291 -0.00862944 -0.13299605 0.05594823 -0.05726642 -0.05407112 -0.07322746 -0.07322746
3.75 -0.01230319 0.06881573 -0.00720025 -0.12136566 0.04608178 -0.05723421 -0.05453461 -0.07205336 -0.07205336
3.80 -0.01009324 0.05677856 -0.00602019 -0.11089262 0.03793109 -0.05647056 -0.05419048 -0.07022749 -0.07022749
3.85 -0.00828244 0.04684139 -0.00504504 -0.10144601 0.03120033 -0.05516464 -0.05323875 -0.06793210 -0.06793210
3.90 -0.00679876 0.03863938 -0.00423852 -0.09291631 0.02564432 -0.05346709 -0.05183999 -0.06531421 -0.06531421
3.95 -0.00558301 0.03187066 -0.00357082 -0.08520624 0.02105992 -0.05149725 -0.05012203 -0.06248941 -0.06248941
4.0 -0.00458662 0.02628558 -0.00301741 -0.07822935 0.01727893 -0.04934901 -0.04818596 -0.05954780 -0.05954780
4.05 -0.00376979 0.02167777 -0.00255813 -0.07190881 0.01416202 -0.04709569 -0.04611130 -0.05655895 -0.05655895
4.10 -0.00309994 0.01787667 -0.00217634 -0.06617631 0.01159394 -0.04479405 -0.04395999 -0.05357592 -0.05357592
4.15 -0.00255048 0.01474150 -0.00185843 -0.06097114 0.00947922 -0.04248751 -0.04177992 -0.05063856 -0.05063856
4.20 -0.00209962 0.01215561 -0.00159293 -0.05623925 0.00773891 -0.04020884 -0.03960762 -0.04777618 -0.04777618
4.25 -0.00172962 0.01002306 -0.00137062 -0.05193257 0.00630770 -0.03798229 -0.03747051 -0.04500975 -0.04500975
4.30 -0.00142597 0.00826450 -0.00118386 -0.04800831 0.00513154 -0.03582539 -0.03538881 -0.04235364 -0.04235364
